iter	Passed	Remaining
0	11	3563
1	22	3319
2	31	3146
3	40	3012
4	51	3022
5	62	3049
6	76	3222
7	90	3304
8	103	3350
9	114	3308
10	124	3282
11	136	3277
12	147	3251
13	163	3344
14	176	3356
15	186	3314
16	195	3260
17	204	3200
18	217	3219
19	226	3172
20	239	3182
21	248	3141
22	257	3106
23	265	3051
24	274	3023
25	283	2992
26	293	2963
27	302	2936
28	311	2909
29	320	2884
30	329	2860
31	337	2829
32	346	2802
33	355	2783
34	364	2757
35	373	2740
36	382	2719
37	391	2701
38	401	2686
39	410	2669
40	420	2653
41	429	2636
42	438	2617
43	446	2597
44	456	2588
45	466	2573
46	474	2553
47	482	2534
48	490	2514
49	499	2497
50	508	2481
51	517	2466
52	525	2448
53	534	2436
54	543	2419
55	551	2402
56	559	2386
57	568	2373
58	577	2359
59	586	2345
60	594	2331
61	603	2317
62	612	2304
63	620	2289
64	630	2279
65	639	2266
66	648	2253
67	656	2240
68	665	2229
69	674	2214
70	686	2212
71	695	2201
72	704	2190
73	714	2181
74	723	2171
75	732	2159
76	743	2152
77	751	2139
78	760	2127
79	770	2117
80	780	2109
81	789	2098
82	799	2091
83	809	2080
84	818	2071
85	828	2062
86	837	2051
87	847	2042
88	857	2032
89	865	2020
90	875	2009
91	884	2000
92	895	1992
93	904	1982
94	914	1973
95	924	1963
96	933	1952
97	941	1941
98	950	1929
99	959	1919
100	968	1907
101	976	1896
102	987	1889
103	996	1877
104	1004	1865
105	1013	1853
106	1022	1843
107	1031	1833
108	1040	1823
109	1049	1812
110	1058	1801
111	1067	1791
112	1076	1780
113	1084	1769
114	1094	1761
115	1104	1751
116	1113	1742
117	1122	1731
118	1131	1721
119	1141	1711
120	1150	1701
121	1159	1691
122	1168	1680
123	1177	1671
124	1189	1665
125	1200	1658
126	1211	1650
127	1222	1643
128	1233	1634
129	1243	1626
130	1253	1617
131	1263	1607
132	1273	1598
133	1283	1589
134	1292	1579
135	1302	1571
136	1312	1561
137	1322	1552
138	1332	1542
139	1341	1533
140	1351	1523
141	1360	1514
142	1372	1506
143	1381	1496
144	1391	1486
145	1401	1478
146	1411	1468
147	1421	1459
148	1431	1450
149	1440	1440
150	1450	1430
151	1460	1421
152	1469	1412
153	1479	1402
154	1488	1392
155	1498	1383
156	1508	1374
157	1518	1364
158	1528	1355
159	1538	1345
160	1547	1336
161	1557	1326
162	1566	1316
163	1576	1307
164	1587	1298
165	1598	1290
166	1610	1282
167	1619	1272
168	1630	1263
169	1640	1254
170	1649	1244
171	1659	1234
172	1670	1226
173	1682	1218
174	1691	1208
175	1702	1199
176	1711	1189
177	1722	1180
178	1731	1170
179	1740	1160
180	1750	1150
181	1760	1141
182	1769	1131
183	1779	1121
184	1789	1112
185	1797	1101
186	1807	1092
187	1817	1082
188	1826	1072
189	1837	1063
190	1845	1053
191	1855	1043
192	1864	1033
193	1874	1024
194	1882	1013
195	1891	1003
196	1901	994
197	1909	983
198	1919	974
199	1928	964
200	1937	954
201	1946	944
202	1956	934
203	1966	925
204	1974	914
205	1984	905
206	1992	895
207	2003	886
208	2014	877
209	2025	868
210	2041	860
211	2053	852
212	2067	844
213	2081	836
214	2091	826
215	2106	819
216	2118	810
217	2130	801
218	2139	791
219	2155	783
220	2167	774
221	2177	765
222	2188	755
223	2200	746
224	2208	736
225	2218	726
226	2227	716
227	2235	706
228	2246	696
229	2264	689
230	2277	680
231	2289	671
232	2300	661
233	2312	652
234	2323	642
235	2334	633
236	2344	623
237	2356	613
238	2366	604
239	2376	594
240	2385	584
241	2395	574
242	2404	564
243	2414	554
244	2424	544
245	2434	534
246	2444	524
247	2454	514
248	2463	504
249	2474	494
250	2484	485
251	2493	475
252	2504	465
253	2513	455
254	2523	445
255	2534	435
256	2543	425
257	2553	415
258	2563	405
259	2573	395
260	2582	385
261	2591	375
262	2602	366
263	2610	356
264	2620	346
265	2630	336
266	2641	326
267	2650	316
268	2661	306
269	2671	296
270	2681	286
271	2692	277
272	2703	267
273	2712	257
274	2724	247
275	2735	237
276	2747	228
277	2756	218
278	2767	208
279	2778	198
280	2788	188
281	2800	178
282	2810	168
283	2821	158
284	2832	149
285	2842	139
286	2852	129
287	2862	119
288	2872	109
289	2883	99
290	2893	89
291	2902	79
292	2912	69
293	2921	59
294	2931	49
295	2941	39
296	2951	29
297	2961	19
298	2971	9
299	2981	0
